25, Asc-2, Control1protein
33, Asc-2, Control2protein
29, Asc-2, Obese1protein
28, Asc-2, Obese2protein
31, Atp12a, Control1protein
33, Atp12a, Control2protein
51, Atp12a, Obese1protein
51, Atp12a, Obese2protein
28, Lhx2, Control1protein
33, Lhx2, Control2protein
64, Lhx2, Obese1protein
71, Lhx2, Obese2protein
25, Ptpn_5, Control1protein
33, Ptpn_5, Control2protein
33, Ptpn_5, Obese1protein
31, Ptpn_5, Obese2protein
28, Synpr, Control1protein
33, Synpr, Control2protein
113, Synpr, Obese1protein
106, Synpr, Obese2protein
25, Yc2, Control1protein
33, Yc2, Control2protein
15, Yc2, Obese1protein
14, Yc2, Obese2protein
